Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	ValidationCER
		94	100		35.281	
		189	200		25.923	
		279	300		24.001	
		370	400		21.755	
		459	500		21.311	
		549	600		20.47	
		638	700		20.628	
		726	800		19.722	
		821	900		19.001	
		902	1000		19.179	
		989	1100		17.638	
		1083	1200		18.102	
		1176	1300		17.215	
		1268	1400		17.19	
		1351	1500		16.973	
		1446	1600		16.582	
		1530	1700		15.736	
		1613	1800		15.879	
		1699	1900		16.335	
		1785	2000		15.596	
		1867	2100		15.28	
		1950	2200		15.127	
		2042	2300		15.534	
		2128	2400		15.336	
		2217	2500		15.203	
		2304	2600		15.3	
		2386	2700		15.072	
		2469	2800		14.631	
		2550	2900		14.075	
		2633	3000		14.151	
		2719	3100		13.887	
		2801	3200		12.717	
		2879	3300		12.569	
		2962	3400		12.797	
		3042	3500		12.366	
		3123	3600		11.792	
		3197	3700		11.901	
		3278	3800		11.944	
		3357	3900		12.426	
		3435	4000		12.109	
		3515	4100		12.106	
		3582	4200		12.139	
		3658	4300		12.268	
		3729	4400		12.043	
		3792	4500		11.829	
		3866	4600		12.321	
		3940	4700		12.051	
		4021	4800		12.351	
		4099	4900		11.865	
		4170	5000		11.743	
		4239	5100		10.937	
		4301	5200		11.2	
		4366	5300		10.756	
		4427	5400		10.393	
		4498	5500		10.192	
		4568	5600		10.474	
		4635	5700		11.605	
		4699	5800		11.505	
		4767	5900		11.4	
		4836	6000		11.715	
		4903	6100		12.355	
		4970	6200		12.16	
		5037	6300		12.445	
		5112	6400		12.839	
		5179	6500		12.854	
		5251	6600		12.483	
		5320	6700		11.467	
		5384	6800		11.474	
		5450	6900		10.981	
		5520	7000		11.114	
		5586	7100		10.583	
		5650	7200		10.659	
		5709	7300		10.077	
		5779	7400		10.571	
		5851	7500		10.453	
		5921	7600		10.207	
		5988	7700		9.961	
		6049	7800		9.447	
		6125	7900		9.876	
		6185	8000		9.287	
		6258	8100		9.624	
		6316	8200		9.386	
		6378	8300		9.518	
		6447	8400		8.455	
		6518	8500		9.19	
		6588	8600		9.149	
		6658	8700		9.457	
		6722	8800		9.337	
		6793	8900		8.762	
		6857	9000		8.586	
		6919	9100		8.083	
		6980	9200		8.193	
		7050	9300		8.117	
		7110	9400		7.894	
		7159	9500		6.833	
		7220	9600		6.863	
		7288	9700		6.483	
		7352	9800		6.439	
		7414	9900		6.486	
		7470	10000		6.303	
		7535	10100		6.285	
		7601	10200		6.293	
		7667	10300		6.082	
		7732	10400		6.224	
		7792	10500		6.464	
		7860	10600		6.212	
		7919	10700		6.108	
		7974	10800		5.978	
		8044	10900		6.132	
		8107	11000		6.133	
		8183	11100		6.152	
		8247	11200		5.961	
		8310	11300		5.696	
		8366	11400		5.365	
		8422	11500		5.162	
		8480	11600		4.938	
		8533	11700		4.685	
		8593	11800		4.684	
		8653	11900		5.107	
		8712	12000		5.572	
		8772	12100		5.751	
		8829	12200		5.576	
		8892	12300		5.748	
		8948	12400		5.821	
		9008	12500		5.792	
		9063	12600		5.847	
		9130	12700		5.949	
		9184	12800		5.897	
		9243	12900		5.331	
		9305	13000		4.838	
		9365	13100		4.608	
		9425	13200		4.472	
		9484	13300		4.269	
		9543	13400		4.217	
		9607	13500		4.349	
		9667	13600		4.438	
		9729	13700		4.827	
		9787	13800		4.854	
		9855	13900		4.737	
		9910	14000		4.603	
		9970	14100		4.476	
		10033	14200		4.514	
		10084	14300		4.583	
		10134	14400		4.804	
		10187	14500		4.756	
		10237	14600		4.539	
		10293	14700		4.358	
		10357	14800		4.331	
		10413	14900		4.308	
		10469	15000		4.333	
		10536	15100		4.518	
		10590	15200		4.431	
		10640	15300		4.318	
		10696	15400		4.081	
		10743	15500		3.973	
		10795	15600		4.274	
		10839	15700		3.78	
		10874	15800		3.506	
		10920	15900		3.612	
		10979	16000		3.537	
		11024	16100		3.361	
		11077	16200		3.505	
		11129	16300		3.536	
		11178	16400		3.632	
		11233	16500		3.606	
		11287	16600		3.267	
		11339	16700		3.314	
		11388	16800		3.404	
		11444	16900		3.35	
		11497	17000		3.558	
		11550	17100		3.518	
		11601	17200		3.407	
		11662	17300		3.428	
		11716	17400		3.326	
		11767	17500		3.359	
		11817	17600		3.257	
		11871	17700		3.3	
		11913	17800		3.391	
		11950	17900		3.199	
		11990	18000		2.935	
		12033	18100		2.984	
		12080	18200		3.645	
		12127	18300		3.782	
		12175	18400		3.958	
		12224	18500		4.145	
		12273	18600		4.277	
		12315	18700		4.306	
		12363	18800		4.245	
		12408	18900		4.333	
		12456	19000		4.394	
		12503	19100		4.399	
		12549	19200		3.64	
		12592	19300		3.663	
		12636	19400		3.405	
		12681	19500		3.231	
		12728	19600		3.154	
		12779	19700		3.124	
		12824	19800		3.104	
		12867	19900		3.178	
		12919	20000		3.478	
		12966	20100		3.455	
		13013	20200		3.514	
		13053	20300		3.28	
		13104	20400		3.27	
		13153	20500		3.326	
		13192	20600		3.322	
		13236	20700		3.498	
		13282	20800		3.584	
		13327	20900		3.465	
		13364	21000		3.462	
		13419	21100		3.47	
		13460	21200		3.419	
		13510	21300		3.413	
		13562	21400		3.613	
		13609	21500		3.448	
		13648	21600		3.342	
		13692	21700		3.186	
		13733	21800		3.189	
		13779	21900		3.341	
		13811	22000		2.894	
		13846	22100		2.74	
		13885	22200		2.781	
		13930	22300		2.769	
		13974	22400		2.574	
		14016	22500		2.716	
		14059	22600		2.834	
		14098	22700		2.815	
		14150	22800		2.727	
		14195	22900		2.589	
		14249	23000		2.696	
		14292	23100		2.734	
		14334	23200		2.877	
		14381	23300		2.866	
		14429	23400		2.864	
		14476	23500		2.782	
		14529	23600		2.849	
		14574	23700		2.848	
		14615	23800		2.783	
		14662	23900		2.68	
		14703	24000		2.666	
		14740	24100		2.632	
		14773	24200		2.394	
		14807	24300		2.352	
		14847	24400		2.451	
		14893	24500		2.942	
		14937	24600		3.136	
		14984	24700		3.11	
		15024	24800		3.262	
		15063	24900		3.246	
		15109	25000		3.346	
		15153	25100		3.442	
		15193	25200		3.5	
		15232	25300		3.57	
		15275	25400		3.559	
		15320	25500		3.13	
		15359	25600		2.917	
		15401	25700		2.85	
		15440	25800		2.747	
		15482	25900		2.755	
		15525	26000		2.703	
		15557	26100		2.558	
		15596	26200		2.835	
		15644	26300		2.822	
		15690	26400		2.752	
		15725	26500		2.658	
		15766	26600		2.576	
		15809	26700		2.596	
		15840	26800		2.614	
		15885	26900		2.81	
		15923	27000		2.847	
		15959	27100		2.927	
		16002	27200		2.66	
		16043	27300		2.877	
		16094	27400		2.937	
		16139	27500		2.956	
		16180	27600		2.924	
		16226	27700		2.927	
		16265	27800		2.84	
		16303	27900		2.583	
		16346	28000		2.555	
		16389	28100		2.546	
		16427	28200		2.51	
		16456	28300		2.145	
		16487	28400		2.149	
		16523	28500		2.052	
		16560	28600		2.041	
		16597	28700		2.123	
		16633	28800		2.188	
		16676	28900		2.285	
		16715	29000		2.212	
		16760	29100		2.27	
		16803	29200		2.315	
		16849	29300		2.425	
		16889	29400		2.345	
		16923	29500		2.474	
		16963	29600		2.462	
		17006	29700		2.417	
		17054	29800		2.468	
		17098	29900		2.459	
		17142	30000		2.636	
		17179	30100		2.508	
		17220	30200		2.383	
		17255	30300		2.327	
		17291	30400		2.294	
		17316	30500		2.12	
		17356	30600		2.139	
		17394	30700		2.352	
		17430	30800		2.721	
		17468	30900		2.846	
		17505	31000		2.659	
		17542	31100		2.677	
		17575	31200		2.676	
		17611	31300		2.797	
		17644	31400		2.853	
		17687	31500		2.955	
		17723	31600		2.995	
		17759	31700		2.725	
		17799	31800		2.409	
		17837	31900		2.312	
		17869	32000		2.266	
		17904	32100		2.265	
		17944	32200		2.323	
		17981	32300		2.221	
		18015	32400		2.164	
		18053	32500		2.229	
		18089	32600		2.187	
		18129	32700		2.236	
		18160	32800		2.144	
		18205	32900		2.082	
		18245	33000		2.066	
		18275	33100		2.064	
		18310	33200		2.195	
		18346	33300		2.354	
		18380	33400		2.35	
		18416	33500		2.627	
		18461	33600		2.737	
		18505	33700		2.66	
		18549	33800		2.663	
		18589	33900		2.699	
		18629	34000		2.801	
		18660	34100		2.72	
		18702	34200		2.597	
		18741	34300		2.448	
		18780	34400		2.529	
		18816	34500		2.07	
		18843	34600		1.847	
		18871	34700		1.954	
		18904	34800		1.856	
		18933	34900		1.8	
		18967	35000		1.862	
		19002	35100		1.934	
		19037	35200		1.942	
		19076	35300		1.914	
		19113	35400		1.866	
		19149	35500		1.929	
		19187	35600		2.03	
		19225	35700		1.971	
		19257	35800		2.079	
		19295	35900		2.106	
		19331	36000		2.071	
		19377	36100		2.148	
		19417	36200		2.166	
		19459	36300		2.273	
		19497	36400		2.198	
		19532	36500		2.161	
		19565	36600		2.153	
		19594	36700		2.123	
		19622	36800		2.006	
		19657	36900		2.022	
		19690	37000		2.473	
		19733	37100		2.525	
		19770	37200		2.558	
		19806	37300		2.54	
		19839	37400		2.536	
		19868	37500		2.549	
		19904	37600		2.549	
		19938	37700		2.594	
		19980	37800		2.636	
		20017	37900		2.701	
		20051	38000		2.133	
		20084	38100		2.11	
		20120	38200		2.087	
		20152	38300		1.997	
		20190	38400		2.025	
		20231	38500		2.077	
		20261	38600		2.052	
		20293	38700		2.061	
		20335	38800		2.223	
		20371	38900		2.093	
		20408	39000		2.207	
		20441	39100		2.114	
		20479	39200		2.012	
		20515	39300		2.021	
		20543	39400		1.99	
		20574	39500		2.128	
		20609	39600		2.2	
		20642	39700		2.132	
		20671	39800		2.197	
		20719	39900		2.294	
		20757	40000		2.143	
		20797	40100		2.114	
		20839	40200		2.299	
		20874	40300		2.317	
		20903	40400		2.274	
		20940	40500		2.109	
		20971	40600		2.17	
		21011	40700		2.199	
		21038	40800		1.869	
		21066	40900		1.786	
		21090	41000		1.815	
		21121	41100		1.82	
		21148	41200		1.636	
		21182	41300		1.753	
		21215	41400		1.773	
		21245	41500		1.747	
		21277	41600		1.636	
		21309	41700		1.659	
		21354	41800		1.731	
		21393	41900		1.738	
		21427	42000		1.79	
		21460	42100		1.821	
		21497	42200		1.87	
		21531	42300		1.83	
		21576	42400		1.92	
		21611	42500		1.979	
		21647	42600		1.949	
		21683	42700		1.905	
		21712	42800		1.893	
		21744	42900		1.896	
		21772	43000		2.019	
		21806	43100		1.949	
		21840	43200		1.959	
		21875	43300		2.386	
		21914	43400		2.499	
		21945	43500		2.447	
		21977	43600		2.464	
		22006	43700		2.423	
		22041	43800		2.484	
		22072	43900		2.473	
		22104	44000		2.298	
		22140	44100		2.328	
		22176	44200		2.335	
		22210	44300		1.887	
		22238	44400		1.763	
		22275	44500		1.762	
		22307	44600		1.801	
		22344	44700		1.849	
		22377	44800		1.822	
		22404	44900		1.812	
		22437	45000		1.989	
		22475	45100		2.032	
		22514	45200		1.982	
		22544	45300		1.939	
		22581	45400		1.923	
		22615	45500		1.883	
		22642	45600		1.872	
		22679	45700		2.004	
		22707	45800		2.013	
		22735	45900		2.032	
		22765	46000		1.856	
		22802	46100		1.962	
		22842	46200		1.971	
		22880	46300		1.914	
		22914	46400		1.914	
		22949	46500		1.982	
		22983	46600		1.942	
		23017	46700		1.764	
		23053	46800		1.752	
		23086	46900		1.75	
		23119	47000		1.751	
		23140	47100		1.522	
		23168	47200		1.526	
		23190	47300		1.466	
		23220	47400		1.401	
		23249	47500		1.463	
		23281	47600		1.644	
		23310	47700		1.651	
		23342	47800		1.62	
		23372	47900		1.58	
		23407	48000		1.641	
		23447	48100		1.731	
		23486	48200		1.717	
		23512	48300		1.819	
		23542	48400		1.801	
		23578	48500		1.746	
		23623	48600		1.64	
		23660	48700		1.644	
		23692	48800		1.704	
		23722	48900		1.725	
		23754	49000		1.663	
		23784	49100		1.624	
		23814	49200		1.622	
		23839	49300		1.583	
		23869	49400		1.58	
		23902	49500		1.778	
		23933	49600		2.007	
		23968	49700		2.102	
		23997	49800		2.037	
		24028	49900		2.008	
		24054	50000		1.975	
		24089	50100		2.033	
		24114	50200		2.045	
		24156	50300		2.115	
		24187	50400		2.19	
		24220	50500		2.015	
		24255	50600		1.841	
		24287	50700		1.788	
		24317	50800		1.762	
		24349	50900		1.85	
		24385	51000		1.925	
		24413	51100		1.903	
		24445	51200		1.918	
		24480	51300		1.998	
		24516	51400		1.986	
		24550	51500		1.971	
		24581	51600		1.87	
		24621	51700		1.859	
		24655	51800		1.862	
		24680	51900		1.822	
		24710	52000		1.987	
		24743	52100		2.014	
		24771	52200		1.976	
		24801	52300		2.146	
		24846	52400		2.183	
		24884	52500		2.094	
		24916	52600		2.055	
		24948	52700		2.049	
		24981	52800		2.087	
		25003	52900		2.034	
		25038	53000		1.862	
		25065	53100		1.797	
		25099	53200		1.827	
		25129	53300		1.492	
		25150	53400		1.35	
		25176	53500		1.435	
		25201	53600		1.421	
		25226	53700		1.414	
		25251	53800		1.458	
		25284	53900		1.618	
		25317	54000		1.603	
		25345	54100		1.589	
		25379	54200		1.648	
		25408	54300		1.668	
		25441	54400		1.738	
		25476	54500		1.689	
		25503	54600		1.734	
		25536	54700		1.73	
		25567	54800		1.699	
		25605	54900		1.601	
