ocreval Word Accuracy Report Version 7.0
----------------------------------------
    6487   Words
    2953   Misrecognized
   54.48%  Accuracy

Stopwords
   Count   Missed   %Right   Length
       0        0   ------    Total

Non-stopwords
   Count   Missed   %Right   Length
     117       73    37.61        2
     854      250    70.73        4
    1100      330    70.00        6
    1066      523    50.94        8
    1147      560    51.18       10
     854      441    48.36       12
       1        1     0.00       13
     826      442    46.49       14
     325      193    40.62       16
     133       90    32.33       18
      41       31    24.39       20
      17       13    23.53       22
       2        2     0.00       24
       1        1     0.00       25
       1        1     0.00       26
       1        1     0.00       31
       1        1     0.00       39
    6487     2953    54.48    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
    3047     1674    45.06        1
     415      140    66.27        2
     132       26    80.30        3
      74       18    75.68        4
      34        3    91.18        5
      21        3    85.71        6
      18        2    88.89        7
      18        5    72.22        8
       9        0   100.00        9
       8        0   100.00       10
      32        1    96.88      >10
    3808     1872    50.84    Total

Phrases
   Count   Missed   %Right   Length
    6487     2953    54.48        1
    6486     4445    31.47        2
    6485     5279    18.60        3
    6484     5757    11.21        4
    6483     6039     6.85        5
    6482     6207     4.24        6
    6481     6314     2.58        7
    6480     6378     1.57        8

Non-stopwords
   Count   Missed   %Right   
       1        1     0.00   آثارهم
       8        5    37.50   آخر
       1        0   100.00   آدم
       2        2     0.00   آراء
       1        1     0.00   آفاقـاً
       1        0   100.00   آل
       1        1     0.00   آمنـة
       1        0   100.00   أ
       3        0   100.00   أبو
       1        1     0.00   أبي
       1        0   100.00   أثبت
       1        1     0.00   أجـد
       2        0   100.00   أحدهما
       1        0   100.00   أخاف
       1        0   100.00   أخذ
       1        0   100.00   أدب
       1        0   100.00   أدرجها
       1        0   100.00   أريد
       1        0   100.00   أساسيين
       1        1     0.00   أسماكهم
       1        1     0.00   أسمر
       2        0   100.00   أشهدتنا
       1        1     0.00   أعلم
       1        0   100.00   أقرب
       1        0   100.00   أقوم
       1        0   100.00   ألامام
       1        0   100.00   ألوف
       2        0   100.00   أم
       2        0   100.00   أمر
       1        1     0.00   أمنت
       8        0   100.00   أن
       1        0   100.00   أنه
       2        1    50.00   أنها
       1        1     0.00   أهالي
       1        1     0.00   أهل
       5        0   100.00   أو
       1        1     0.00   أي
       1        1     0.00   ؤمرخا
       1        0   100.00   إبراهيم
       1        0   100.00   إبل
