ocreval Accuracy Report Version 7.0
-----------------------------------
   38654   Characters
    1888   Errors
   95.12%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   95.12%  Accuracy After Correction

     Ins    Subst      Del   Errors
       0        0        0        0   Marked
     604      673      611     1888   Unmarked
     604      673      611     1888   Total

   Count   Missed   %Right
    7112      197    97.23   ASCII Spacing Characters
     676      150    77.81   ASCII Special Symbols
   30124      563    98.13   Basic Arabic
     736      361    50.95   Arabic Extended
       6        6     0.00   General Punctuation
   38654     1277    96.70   Total

  Errors   Marked   Correct-Generated
     146        0   {ـ}-{}
     121        0   {. . . . . . . . . . . . ...}-{<200E>}
      96        0   {}-{<200E>}
      89        0   {}-{<200F>}
      51        0   { }-{}
      42        0   {ک}-{ك}
      38        0   {}-{ }
      37        0   {ی}-{ي}
      25        0   {:}-{. ٤٧ <200F>كتاب ا...}
      22        0   {ك}-{ک}
      22        0   {ی}-{ى}
      21        0   {.}-{،٩ ٨ ٧ ٦ <200F>م...}
      20        0   {}-{◌ً}
      20        0   {◌ً}-{}
      19        0   {كتاب الكسب، ص...}-{<200F>}
      16        0   {٦٨/١ .}-{<200F>التحفة<200E>}
      14        0   {}-{٧،٥٨٥٨ ٢،٢٥٥ ...}
      14        0   {م}-{}
      12        0   {- ١٢ - ٦٢ : }-{<200F>}
      12        0   {.}-{: ٦٢ - ١٢- ١}
      12        0   {}-{الاجبسيانة ...}
      12        0   {التحفة}-{. ٦٨/١}
      12        0   {ي}-{ى}
      11        0   { ٢٥،٢٥ ٧،٥٨}-{<200E>}
      11        0   {. ٢٩٩ ص .}-{<200F>الاميرية،...}
      11        0   {.}-{٥٥ - ١ - ٢٧}
      11        0   {ا}-{}
      10        0   {- }-{<200F>}
      10        0   {}-{ا}
      10        0   {}-{م}
      10        0   {}-{٢٨٨ /٤ : <200F>}
       9        0   {- ١ - ٥٥ }-{<200F>}
       9        0   {}-{ت}
       9        0   {الاميرية،}-{. <200F>ص<200E> ٢٩٦}
       9        0   {ت}-{}
       9        0   {ى<200C>الله<200C>ع...}-{مث}
       9        0   {ى}-{ي}
       8        0   {. }-{}
       8        0   {ن}-{}
       7        0   {- ٢٢٥}-{الثاني<200E>}
       7        0   {}-{. . - ٣}
       7        0   {}-{<200E> . ٣٥٨}
       7        0   {}-{و}
       7        0   {ل}-{}
       7        0   {و}-{}
       7        0   {٢٨٨/٤ .}-{١}
       7        0   {٤٧ ٢٠٠}-{ <200F>کانون}
       6        0   {- ... }-{<200F>}
       6        0   {.}-{- ١}
       6        0   {[}-{]}
       6        0   {}-{. }
       6        0   {}-{ل}
       6        0   {}-{١٩}
       6        0   {الثاني}-{٢٠٠ ١٤}
       6        0   {ه<200C>وسلم}-{}
       6        0   {١٩٥٨ .}-{. <200F>ص<200E>}
       6        0   {١٩٦٥ .}-{. <200F>ص<200E>}
       6        0   {١٩٦٦ .}-{. <200F>ص<200E>}
       6        0   {٣٥٨ . }-{<200F>}
       6        0   {٩٨٧٦، }-{<200F>}
       5        0   { ٥٦<\n>١}-{<200E><\n><200E>١<200F>}
       5        0   {]}-{[}
       5        0   {}-{ي}
       5        0   {ب}-{}
       5        0   {ب}-{ي}
       5        0   {ر}-{و}
       5        0   {ز،<\n>٢٤}-{ن<\n><200E>٥٧}
       5        0   {ع}-{}
       5        0   {ـلمي<200C>}-{اه}
       5        0   {كانون}-{٢٢٥ -}
       5        0   {ي}-{}
       5        0   {١٠٨}-{. <200F>ص<200E>}
       5        0   {١٤٢}-{. <200F>ص<200E>}
       5        0   {١٨٣}-{. <200F>ص<200E>}
       5        0   {١٩٦٥}-{<200E>٢٣٢٧}
       5        0   {٢١٨}-{. <200F>ص<200E>}
       5        0   {٣٢٧}-{١٩٦٥<200F>}
       5        0   {٤٨١}-{. <200F>ص<200E>}
       4        0   { - -}-{}
       4        0   { . .}-{٥٥<200F>}
       4        0   { ك}-{ک}
       4        0   {- }-{}
       4        0   {-}-{<200F>سه<200E>}
       4        0   {. لك}-{أح}
       4        0   {.}-{- ٢٣}
       4        0   {.}-{١٩٥٨}
       4        0   {.}-{١٩٦٥}
       4        0   {.}-{١٩٦٦}
       4        0   {[}-{] }
       4        0   {]}-{ [}
       4        0   {}-{:<200F>}
       4        0   {}-{<200E>،}
       4        0   {}-{ن}
       4        0   {}-{٥٦ <200F>}
       4        0   {}-{ک}
       4        0   {ص .}-{١٨٢٣}
       4        0   {ف}-{ن}
       4        0   {ينئذ}-{اكة}
       4        0   {٠٨}-{٩٦٤<200F>}
       4        0   {١٠ :}-{<200E>:١<200F>}
       4        0   {١٩٠ }-{. <200F>}
       4        0   {١٩٦٠}-{<200E>٦٥١}
       4        0   {١٩٦٢}-{<200E>٣٢١}
       4        0   {١٩٦٢}-{<200E>٦٤٣}
       4        0   {٢٥}-{٩٦٤<200F>}
       4        0   {٤٣٢١}-{.}
       4        0   {٤٤ }-{ ١٩٥}
       4        0   {٥}-{<200E>٤١٩}
       4        0   {٥٤}-{٢١١<200F>}
       4        0   {٧٣}-{٩٦٤<200F>}
       4        0   {٩١٦}-{٨٤٤<200F>}
       4        0   {ھ}-{ه}
       4        0   {یـ}-{ي}
       4        0   {یک}-{يك}
       3        0   {..}-{ ٩٥}
       3        0   {.}-{- ٣}
       3        0   {.}-{- ٤}
       3        0   {.}-{<200F>ص<200E>}
       3        0   {.}-{١٩٠}
       3        0   {}-{د}
       3        0   {}-{ر}
       3        0   {}-{ق}
       3        0   {}-{٠٨<200F>}
       3        0   {}-{٣<200F> }
       3        0   {،}-{<200F>}
       3        0   {أ}-{ا}
       3        0   {إ}-{ا}
       3        0   {ت}-{ن}
       3        0   {ج}-{ح}
       3        0   {د}-{}
       3        0   {ص .}-{١٤٢}
       3        0   {ص .}-{٢١٨}
       3        0   {ص .}-{٤٨١}
       3        0   {ص}-{.}
       3        0   {ـاب}-{لر}
       3        0   {ـف}-{كتك}
       3        0   {فـك}-{يها}
       3        0   {ل}-{ا}
       3        0   {لتح}-{}
       3        0   {ن}-{ت}
       3        0   {ي ظ}-{وط}
       3        0   {١}-{.}
       3        0   {١}-{<200E>،٢}
       3        0   {١٣٧}-{:}
       3        0   {١٧}-{<200E>٥٠}
       3        0   {١٩}-{<200E>٣٨}
       3        0   {١٩}-{<200E>٥٨}
       3        0   {١٩٥}-{٧ ٤}
       3        0   {٢١}-{<200E>٥٤}
       3        0   {٢٩}-{<200E>٥٤}
       3        0   {٣ .}-{٢و<200E>}
       3        0   {٣ ب}-{ي}
       3        0   {٣}-{.}
       3        0   {٣}-{١٩٦}
       3        0   {٤}-{<200E>٥٩}
       3        0   {٥٠}-{١٧<200F>}
       3        0   {٥٤}-{٢٩<200F>}
       3        0   {٥٧}-{٢٤<200F>}
       3        0   {٦}-{٣٠<200F>}
       3        0   {٦٢}-{٢٨<200F>}
       3        0   {٨٤٤}-{٩١٦}
       3        0   {٩ ص}-{٢ص<200F>}
       3        0   {٩٥ }-{..}
       3        0   {٩٦٤}-{٠٨}
       3        0   {٩٦٤}-{٢١}
       3        0   {٩٦٤}-{٧٣}
       2        0   { .}-{}
       2        0   { :}-{<200E>}
       2        0   { ع}-{}
       2        0   { ٠}-{٢}
       2        0   { ١}-{١<200F>}
