ocreval Word Accuracy Report Version 7.0
----------------------------------------
    6487   Words
     851   Misrecognized
   86.88%  Accuracy

Stopwords
   Count   Missed   %Right   Length
       0        0   ------    Total

Non-stopwords
   Count   Missed   %Right   Length
     117       67    42.74        2
     854       83    90.28        4
    1100       95    91.36        6
    1066      159    85.08        8
    1147      140    87.79       10
     854      122    85.71       12
       1        1     0.00       13
     826       85    89.71       14
     325       56    82.77       16
     133       26    80.45       18
      41       10    75.61       20
      17        2    88.24       22
       2        1    50.00       24
       1        1     0.00       25
       1        1     0.00       26
       1        1     0.00       31
       1        1     0.00       39
    6487      851    86.88    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
    3047      535    82.44        1
     415       33    92.05        2
     132        3    97.73        3
      74        5    93.24        4
      34        1    97.06        5
      21        0   100.00        6
      18        1    94.44        7
      18        1    94.44        8
       9        0   100.00        9
       8        0   100.00       10
      32        0   100.00      >10
    3808      579    84.80    Total

Phrases
   Count   Missed   %Right   Length
    6487      851    86.88        1
    6486     1513    76.67        2
    6485     2079    67.94        3
    6484     2579    60.23        4
    6483     3031    53.25        5
    6482     3436    46.99        6
    6481     3793    41.48        7
    6480     4106    36.64        8

Non-stopwords
   Count   Missed   %Right   
       1        0   100.00   آثارهم
       8        0   100.00   آخر
       1        0   100.00   آدم
       2        0   100.00   آراء
       1        1     0.00   آفاقـاً
       1        0   100.00   آل
       1        1     0.00   آمنـة
       1        0   100.00   أ
       3        0   100.00   أبو
       1        0   100.00   أبي
       1        0   100.00   أثبت
       1        1     0.00   أجـد
       2        0   100.00   أحدهما
       1        0   100.00   أخاف
       1        0   100.00   أخذ
       1        0   100.00   أدب
       1        0   100.00   أدرجها
       1        0   100.00   أريد
       1        0   100.00   أساسيين
       1        1     0.00   أسماكهم
       1        0   100.00   أسمر
       2        0   100.00   أشهدتنا
       1        0   100.00   أعلم
       1        0   100.00   أقرب
       1        0   100.00   أقوم
       1        1     0.00   ألامام
       1        0   100.00   ألوف
       2        0   100.00   أم
       2        0   100.00   أمر
       1        0   100.00   أمنت
       8        0   100.00   أن
       1        0   100.00   أنه
       2        0   100.00   أنها
       1        0   100.00   أهالي
       1        0   100.00   أهل
       5        0   100.00   أو
       1        0   100.00   أي
       1        1     0.00   ؤمرخا
       1        0   100.00   إبراهيم
       1        1     0.00   إبل
